id,b1
2073,0.8120663746646877
2143,0.16963892967719177
2213,0.11606698107443307
2283,0.10533692967108707
2353,0.42686940996367734
2423,0.5918510039651991
2493,0.12450728868985025
2563,0.2634611487299658
2633,0.1653184563361317
2703,0.7183467447858728
2773,0.9563698330626289
2843,1.3180855118447217
2913,0.23099351582619249
2983,0.05679470878328031
3053,
3123,
3193,
39,
109,
179,
249,
319,0.06156162337052909
389,0.14157492325076698
459,
529,
599,
669,
739,
809,0.061643420499405605
879,0.15645132113279145
949,0.15683708883204137
1019,0.06248427332869034
1089,0.1530809430270133
1159,0.6834682226169124
1229,0.7233148270208996
1299,0.49310976579020765
1369,0.6417118294218617
1439,0.3907822244009209
1509,0.5127874411078961
1579,0.6096478519255709
1649,0.623877763644134
1719,0.6934796738239017
1789,0.8826094524135649
1859,0.7310435309412598
1929,0.543274978278237
1999,0.3824682710908206
2069,0.4410238255975896
2139,0.6921940933006366
2209,0.4853057101513154
2279,0.4298872430308627
2349,0.4779502047014406
2419,0.29729285952531914
2489,0.4570509457577441
2559,0.47986707689690433
2629,0.4004921114796646
2699,0.8600652034996107
2769,
2839,
2909,
2979,
3049,
3119,
3189,
32,
102,
172,
242,
312,0.1699784514323097
382,0.4689828035304997
452,0.0
522,
592,
662,
732,
802,
872,
942,
1012,
1082,
1152,
1222,
1292,
1362,
1432,
1502,
1572,
1642,
1712,
1782,
1852,
1922,
1992,
2062,
2132,
2202,
2272,
2342,
2412,
2482,
2552,
2622,0.01793189451034831
2692,0.12546479675932307
2762,
2832,0.0
2902,0.0
2972,0.0
3042,0.22176752564289443
3112,0.25252667949324226
3182,0.8493442172914718
3252,0.9576893714098055
28,
98,0.6306223309022988
168,0.3005683267576841
238,0.5226931151635313
308,0.31980158146468524
378,0.5212971213294343
448,0.7812112789822144
518,0.4508965713814027
588,0.533484379771483
658,0.5134662782461368
728,0.16823484118880758
798,0.08665560917406188
868,
938,
1008,
1078,
1148,
1218,
1288,
1358,
1428,
1498,
1568,
1638,
1708,
1778,
1848,0.12795211446989144
1918,0.24321368160514326
1988,0.26588506235329123
2058,0.26182377863649364
2128,0.4161087051796295
2198,
2268,
2338,
2408,
2478,0.31517433331413003
2548,0.22543276074229243
2618,0.2952748896998742
2688,0.2493469707120014
2758,0.11621370496061313
2828,
2898,0.2076545911348083
2968,0.6287051167331745
3038,0.5823484164627085
3108,0.3406987322701949
