id,agbd
2692,41.331428571428575
2762,
2832,
2902,12.5
2972,11.0
3042,38.115233718193025
3112,44.53835327234342
3182,45.45109856214113
3252,91.58137939794234
28,
98,40.494291313423936
168,23.505716687500815
238,35.242310371267855
308,43.22423341654522
378,34.48420257717558
448,40.460647711773255
518,35.27548819810444
588,55.14752225013475
658,38.774857881378956
728,22.285826391914814
798,25.0
868,
938,
1008,
1078,
1148,
1218,
1288,
1358,
1428,
1498,
1568,
1638,
1708,
1778,
1848,30.575
1918,32.391304347826086
1988,49.80405159516396
2058,83.43725490196078
2128,77.58636363636364
2198,
2268,
2338,
2408,
2478,43.036083267726056
2548,37.134400117543976
2618,49.488188976377955
2688,34.94058232156789
2758,37.38638747900332
2828,
2898,33.64262137989778
2968,33.509803921568626
3038,41.486042422567344
3108,35.3613204386852
3178,22.523089725222402
3248,22.227161700048853
24,
94,51.36788137335527
164,51.327250024013054
234,43.232955846189064
304,43.10771773217608
374,38.065860454870865
444,41.398589296888886
514,17.17531305903399
584,21.346666666666668
654,67.39233914245504
724,37.94258509484234
794,51.260602083856014
864,
934,
1004,
1074,
1144,43.0
1214,
1284,
1354,
1424,
1494,46.52427184466019
1564,51.316276834624155
1634,
1704,
1774,
1844,
1914,
1984,
2054,51.0
2124,37.48662007925692
2194,35.0
2264,17.327816429713494
2334,
2404,38.01290305774682
2474,43.142168674698794
2544,32.472770017107294
2614,67.50748093799453
2684,33.36587310022319
2754,56.53949039194108
2824,
2894,34.45238095238095
2964,41.53522139779063
3034,36.482142857142854
3104,35.202312138728324
3174,37.37097001419639
3244,43.31351373781699
20,
90,97.33634818501882
160,71.15095891944785
230,59.42273000601323
300,38.05521011621289
370,30.36842105263158
440,35.03517250751695
510,33.38037435932173
580,75.80285714285715
650,35.42842584601825
720,38.77068949349623
790,51.356508039447704
860,54.88345896695965
930,83.59728108132221
1000,91.49577440323885
1070,45.0
1140,
1210,
1280,
1350,
1420,
1490,57.58620689655172
1560,75.5331621490915
1630,86.5
1700,45.5
1770,42.423529411764704
1840,51.25496703218088
1910,38.14837680158896
1980,43.12765957446808
2050,
2120,
2190,
2260,
2330,32.51724137931034
2400,43.35143059635807
2470,32.49114177928465
2540,52.46913580246913
2610,71.3336939976893
2680,107.58935826901767
2750,105.45
2820,34.457142857142856
2890,35.0
2960,36.0
3030,131.57971014492753
3100,
3170,
3240,
16,
86,
156,
226,
296,
366,
436,
506,
576,
646,
716,87.35219939703413
786,91.4266520739849
856,61.4
926,54.53658536585366
996,52.51648351648352
1066,67.5814165460297
1136,81.54171074633996
1206,59.395694775666186
1276,61.45984401688744
1346,67.42141493413668
1416,59.15803264756914
1486,93.60240963855422
1556,96.45454545454545
1626,99.58285124802784
1696,69.43850267379679
1766,45.494949494949495
1836,
1906,
1976,37.49122807017544
2046,28.103379261603504
2116,29.888133950938222
2186,99.56756756756756
2256,139.13675363333917
2326,211.61872087476607
2396,60.2
2466,72.42857142857143
2536,45.303030303030305
2606,38.44230769230769
2676,44.50877192982456
2746,40.440361786319954
2816,46.577777777777776
2886,48.57240388070428
2956,49.583333333333336
3026,57.34615384615385
3096,20.3
3166,
3236,
12,
82,
152,
222,
292,
362,
432,
502,
572,
642,58.0
712,40.627906976744185
782,51.288990825688074
852,59.195
922,92.42857142857143
992,56.450980392156865
1062,60.54545454545455
1132,73.4494382022472
1202,67.47147147147147
1272,137.55198113925013
1342,71.59219091866778
1412,54.94236439006007
1482,34.973536999667935
1552,55.05707762557078
1622,83.41785714285714
1692,135.12935714970558
1762,115.76668159735381
1832,99.33382323468501
1902,135.52565018969594
1972,167.57738859343482
2042,155.7596350580999
2112,86.42307692307692
2182,62.483870967741936
2252,50.343403510346995
2322,65.41350527186273
2392,52.431372549019606
2462,46.51724137931034
2532,44.5
2602,125.97674418604652
2672,119.67857142857143
2742,15.354947242557035
2812,64.5
2882,139.41666666666666
2952,37.51732673267327
3022,38.4159386068477
3092,37.3731884057971
3162,29.694915254237287
3232,24.4
8,
78,
148,
218,
288,
358,
428,53.47410358565737
498,61.54206206172007
568,65.59375
638,70.81628259191066
708,75.32558139534883
778,61.56987687240216
848,59.3717277486911
918,75.33357682006331
988,78.5111111111111
1058,88.56410256410257
1128,71.35578509226224
1198,91.51953125
1268,104.5
1338,151.80220379663976
1408,73.57575757575758
1478,231.7140182088203
1548,139.83333333333334
1618,139.9284200861643
1688,123.37037037037037
1758,119.62264669183139
1828,139.38793103448276
1898,115.75182481751825
1968,115.3588027374596
2038,123.355
2108,101.646604632746
2178,105.41758241758242
2248,54.488173902303465
2318,68.61538461538461
2388,61.351851851851855
2458,129.75675675675674
2528,123.37931034482759
2598,51.1007633942577
2668,103.27896995708154
2738,187.61032863849766
2808,163.91875645151498
2878,42.578947368421055
2948,44.50353525702275
3018,38.50413223140496
3088,42.52542372881356
3158,52.56716417910448
3228,44.59930730218941
4,
74,
144,
214,
284,
354,37.68139328228594
424,61.57898117633917
494,37.51365574355997
564,
634,
704,
774,
844,
914,71.01490705812844
984,67.32876712328768
1054,65.32307692307693
1124,81.49514563106796
1194,89.21170577379382
1264,135.64501510574019
1334,155.6551724137931
1404,107.5652604817512
1474,107.6927374301676
1544,147.52542372881356
1614,139.28191489361703
1684,139.43103448275863
1754,135.55022809530988
1824,155.54515803764062
1894,115.61996569088593
1964,99.7429718875502
2034,88.48529411764706
2104,139.80212853671236
2174,137.47232472324723
2244,67.28571428571429
2314,112.43589743589743
2384,91.60998845265588
2454,60.5
2524,133.6793893129771
2594,139.6373765935014
2664,179.6197336708452
2734,66.51428571428572
2804,142.47368421052633
2874,85.6930693069307
2944,147.51149425287358
3014,60.325
3084,44.459016393442624
3154,78.44117647058823
3224,109.53
70,
140,
210,
280,16.636363636363637
350,14.0
420,19.35047811832012
490,22.48227545252643
560,12.0
630,13.26938287022583
700,14.369314305208098
770,21.0
840,13.0
910,14.0
980,14.5
1050,22.0
1120,39.0
1190,
1260,29.0
1330,29.5
1400,10.5
1470,20.0
1540,19.5
1610,16.0
1680,10.0
1750,
1820,
1890,
1960,
2030,
2100,
2170,
2240,
2310,
2380,
2450,
2520,
2590,
2660,
2730,
2800,
2870,
2940,
3010,
3080,
3150,
3220,
66,
136,
206,
276,
346,34.895621700884206
416,65.4601485884101
486,41.307065217391305
556,18.0
626,
696,
766,
836,
906,10.676699306337023
976,41.478408142560255
1046,32.6025641025641
1116,35.279587342065604
1186,35.319012583684135
1256,38.787111237981186
1326,22.658134412040482
1396,22.573813027727546
1466,27.06916788679861
1536,16.51685393258427
1606,14.466375914462578
1676,10.655254887232909
1746,
1816,
1886,
1956,
2026,32.0
2096,
2166,
2236,
2306,
2376,
2446,
2516,
2586,49.68421052631579
2656,38.43801652892562
2726,
2796,14.0
2866,16.0
2936,13.294871794871796
3006,18.65934065934066
3076,45.47588424437299
3146,65.61904761904762
3216,38.71589396085638
62,48.0
132,43.13315500596996
202,22.038494567211643
272,45.38696218047059
342,12.485915492957746
412,14.451674862857056
482,40.499227502135724
552,31.0
622,54.973692517668994
692,19.23240390608768
762,35.28066882180207
832,46.42857142857143
902,
972,
1042,
1112,
1182,
1252,
1322,
1392,
1462,
1532,
1602,
1672,
1742,
1812,
1882,45.0
1952,41.0
2022,59.62068965517241
2092,57.42967075248722
2162,61.38
2232,
2302,
2372,
2442,
2512,43.21422558082935
2582,75.49088180084894
2652,45.42531158357771
2722,42.504885993485345
2792,48.0
2862,14.0
2932,43.180489749210864
3002,41.45251369758617
3072,43.269082272854284
3142,21.374132146422376
3212,17.417612886189595
58,
128,67.41483264117136
198,43.214677421210695
268,33.46056877156302
338,38.22709104704098
408,38.405063555778554
478,44.502164502164504
548,17.431718061674008
618,49.469642815966054
688,55.22744730010252
758,45.41421283451177
828,43.14602052463006
898,
968,
1038,
1108,
1178,
1248,
1318,
1388,
1458,36.7
1528,44.46663165934696
1598,42.98273867215895
1668,
1738,
1808,
1878,
1948,50.22727272727273
2018,45.42953020134228
2088,34.89174929500591
2158,37.246643614117126
2228,17.415533980582524
2298,9.996141570037574
2368,37.76982554458695
2438,38.33265747135282
2508,38.037562117179256
2578,35.113085470778714
2648,34.0
2718,49.40978582399454
2788,37.320754716981135
2858,53.58064516129032
2928,29.274590163934427
2998,32.554794520547944
3068,38.45348837209303
3138,41.51171875
3208,38.401414087513345
54,50.0
124,67.40168957677145
194,67.62043795620438
264,54.941867039143304
334,42.33050496948124
404,62.59466619569057
474,24.984337800458704
544,49.44703849891425
614,35.0197376081978
684,34.456552504953294
754,65.49771173113282
824,83.66448182378788
894,83.59232919569531
964,67.43922389860667
1034,57.416666666666664
1104,
1174,
1244,
1314,
1384,
1454,
1524,57.45398773006135
1594,46.0
1664,
1734,43.134001892147595
1804,51.23625930571619
1874,38.30357142857143
1944,34.86190121084425
2014,
2084,
2154,
2224,65.0
2294,45.58273381294964
2364,28.37483444825928
